complexity,loss,score,equation
1,0.3002698,0.0,0.029392842
3,0.23095915,0.13122027438733058,0.08628498 / x
4,0.22051044,0.04629581435210264,exp(x * -2.4461064)
5,0.19734167,0.11100844875969101,sin(cos(x * 2.4801526))
6,0.14539781,0.3054630888573787,cos(x * 2.4772542) * 0.56575334
8,0.053256158,0.5021800309959557,cos(x * 2.4869719) / (x + 0.37740448)
9,0.05317639,0.001498940247777831,cos(x * 2.489426) / exp(x / 5.7364225)
10,0.011980431,1.4903399321802135,(cos(x * 2.4903371) / (x + 1.2102916)) / 0.3728879
11,0.0025801943,1.5354098624924888,(cos(x * 2.495097) / exp(x * 0.33590397)) / 0.5034862
13,0.0025735328,0.001292560428707307,cos((x / 0.40046263) + -0.007252231) / exp((x * 0.3350091) - 0.683608)
15,0.0025591955,0.002793317014166091,(((cos(x * 2.494979) / exp(x * 0.3366797)) / 0.502734) - 0.3900175) + 0.3853809
17,0.0025555333,0.000716010715139927,(cos(x + ((x / 0.66575617) + -0.023925006)) - 0.012037172) / exp((x * 0.33874992) + -0.6881244)
19,0.0025453763,0.0019912161203498834,(cos(x + ((x + -0.007405049) / 0.66732895)) * (1.5862237 / exp((x + -0.6647468) * 0.33578196))) - 0.0055714897
21,0.0025453635,2.514369326067255e-06,((cos(x + ((x + -0.0073730103) / 0.6673271)) * 1.3974175) / exp(((x + -0.0009876547) * 0.33575585) + -0.34958366)) - 0.005480333
22,0.0025372996,0.0031731030002764673,cos((x / 0.6690635) + x) / exp(((x * 0.30679) - 0.6297229) / exp(cos(cos(x / -1.0667033)) * -0.13727708))
24,0.002514126,0.004587568817931292,cos(x + (x / 0.6690219)) / exp((x * 0.33362553) - exp((cos(cos((x * x) + -0.81633425)) * -0.16376053) - 0.25545052))
25,0.0025017571,0.0049319032460744565,cos(x + (x / 0.6697148)) / exp((x * 0.33662304) - (0.44431916 / exp((cos(cos(exp(x) * 0.5855466)) * -0.1470908) - 0.32167378)))
27,0.0024752088,0.0053342844495930615,cos((x / 0.6686291) + x) / exp(((x * 0.33717322) - (0.32349536 / exp((cos(cos(exp(x) * 5.865218)) * -0.20263314) - 0.4314216))) - 0.109323226)
28,0.002450996,0.009830283540905982,cos(x + (x / 0.6683922)) / exp((x * 0.33910686) - (0.43878675 / exp((cos(cos(exp(x) * (exp(x) * 0.62325484))) * -0.14470978) - 0.34419248)))
30,0.0024221707,0.005915175483650438,cos(x + (x / 0.66879326)) / exp(((x * 0.33442962) - exp(0.34052625 / ((cos(cos((exp(x) * exp(x)) * 0.65558666)) * -0.221967) - 0.4366823))) - 0.111924976)
